id,slug,titleEn,titleAr,excerptEn,excerptAr,templateKey,status,blocks,publishedAt,scheduledAt,createdAt,updatedAt,visualSettings
cmpv9628a001shf2w4z2l68c6,home,,,,,home,DRAFT,"[]",,,2026-06-01T13:36:59.338Z,2026-06-05T11:01:39.371Z,"{""siteEffects"":{""background"":""inherit""},""animationsEnabled"":true}"
cmpv9628c001thf2w3e8te0ly,about,,,,,about,DRAFT,"[]",,,2026-06-01T13:36:59.340Z,2026-06-05T11:01:39.371Z,
cmpv9628d001uhf2wj35o8c1o,contact,,,,,contact,DRAFT,"[]",,,2026-06-01T13:36:59.342Z,2026-06-05T11:01:39.371Z,
cmpv9628f001vhf2wywizdn0i,packages,,,,,packages,DRAFT,"[]",,,2026-06-01T13:36:59.343Z,2026-06-05T11:01:39.371Z,"{}"
cmpv9628i001xhf2wh2ban5s8,gallery,,,,,gallery,DRAFT,"[]",,,2026-06-01T13:36:59.347Z,2026-06-05T11:01:39.371Z,
cmpv9628k001yhf2wm8z0982c,testimonials,,,,,testimonials,DRAFT,"[]",,,2026-06-01T13:36:59.348Z,2026-06-05T11:01:39.371Z,
cmpv9628l001zhf2wrg4nzifr,hotels-transport,,,,,hotels-transport,DRAFT,"[]",,,2026-06-01T13:36:59.350Z,2026-06-05T11:01:39.371Z,
cmq05v0tp0007hflkcksu8qmq,products,,,,,products,DRAFT,"[]",,,2026-06-05T00:03:16.334Z,2026-06-05T11:01:39.371Z,"{}"
cmq05v0u30008hflkq684a21o,collections,,,,,collections,DRAFT,"[]",,,2026-06-05T00:03:16.348Z,2026-06-05T11:01:39.371Z,"{}"
cmq05v0u80009hflksefq0grx,services,,,,,services,DRAFT,"[]",,,2026-06-05T00:03:16.352Z,2026-06-05T11:01:39.371Z,"{}"
cmq05v0ub000ahflkd7ca8i8k,compare,,,,,compare,DRAFT,"[]",,,2026-06-05T00:03:16.355Z,2026-06-05T11:01:39.371Z,"{}"
cmq05v0uf000bhflk8am0vhv5,favorites,,,,,favorites,DRAFT,"[]",,,2026-06-05T00:03:16.360Z,2026-06-05T11:01:39.371Z,"{}"
cmq05v0uk000chflk5roi5z5m,account,,,,,account,DRAFT,"[]",,,2026-06-05T00:03:16.364Z,2026-06-05T11:01:39.371Z,"{}"
cmq0j4wac0027hfd4sahais3b,smart-home,,,,,landing,DRAFT,"[]",,,2026-06-05T06:14:52.020Z,2026-06-05T11:01:39.371Z,"{}"
cmq0j4waj0028hfd4muyeccf4,security-solutions,,,,,landing,DRAFT,"[]",,,2026-06-05T06:14:52.027Z,2026-06-05T11:01:39.371Z,"{}"
cmq0j4was0029hfd4p0t4ll4q,enterprise-wireless,,,,,landing,DRAFT,"[]",,,2026-06-05T06:14:52.036Z,2026-06-05T11:01:39.371Z,"{}"
cmq0j593r002rhffcy04slljf,why-choose-us,,,,,landing,DRAFT,"[]",,,2026-06-05T06:15:08.631Z,2026-06-05T11:01:39.371Z,"{}"
