id,slug,titleEn,titleAr,excerptEn,excerptAr,templateKey,status,blocks,publishedAt,scheduledAt,createdAt,updatedAt,visualSettings
cmpv9628a001shf2w4z2l68c6,home,Home,الرئيسية,,,home,PUBLISHED,"[{""id"":""hero-1"",""type"":""hero"",""props"":{""layout"":""fullBleed"",""badgeAr"":""أكثر من 10 سنوات خبرة"",""badgeEn"":""10+ Years of Experience"",""ctaHref"":""/contact"",""titleAr"":""حلول لاسلكية وتقنية ذكية مبتكرة"",""titleEn"":""Innovative Wireless & Smart Technology Solutions"",""imageUrl"":""/demo/brt/hero.svg"",""minHeight"":""70vh"",""ctaLabelAr"":""احصل على عرض"",""ctaLabelEn"":""Get a Quote"",""subtitleAr"":""ربط الشركات والأفراد عبر تقنيات متقدمة"",""subtitleEn"":""Connecting businesses and individuals through advanced technology"",""mediaAssetId"":""mock-media-hero"",""backgroundType"":""image"",""overlayOpacity"":60,""secondaryCtaHref"":""/services"",""secondaryCtaLabelAr"":""خدماتنا"",""secondaryCtaLabelEn"":""Our Services""},""version"":""2.0""},{""id"":""statsCounter-2"",""type"":""statsCounter"",""props"":{""items"":[{""id"":""stat-1"",""icon"":"""",""value"":10,""prefix"":"""",""suffix"":""+"",""labelAr"":""سنوات الخبرة"",""labelEn"":""Years of Experience"",""chartData"":[],""chartType"":""none"",""descriptionAr"":"""",""descriptionEn"":""""},{""id"":""stat-2"",""icon"":"""",""value"":500,""prefix"":"""",""suffix"":""+"",""labelAr"":""مشروع منجز"",""labelEn"":""Projects Delivered"",""chartData"":[],""chartType"":""none"",""descriptionAr"":"""",""descriptionEn"":""""},{""id"":""stat-3"",""icon"":"""",""value"":99,""prefix"":"""",""suffix"":""%"",""labelAr"":""رضا العملاء"",""labelEn"":""Client Satisfaction"",""chartData"":[],""chartType"":""none"",""descriptionAr"":"""",""descriptionEn"":""""}],""layout"":""grid"",""titleAr"":""سجل حافل بالإنجازات"",""titleEn"":""Proven Track Record"",""subtitleAr"":"""",""subtitleEn"":"""",""animateOnView"":true},""version"":""2.0""},{""id"":""featureGrid-3"",""type"":""featureGrid"",""props"":{""items"":[{""id"":""feat-1"",""href"":""/enterprise-wireless"",""icon"":""fa-wifi"",""titleAr"":""شبكات لاسلكية"",""titleEn"":""Enterprise Wireless"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""بنية Wi-Fi قوية وتحسين الشبكة."",""descriptionEn"":""Robust Wi-Fi infrastructure and network optimization.""},{""id"":""feat-2"",""href"":""/services"",""icon"":""fa-signal"",""titleAr"":""تغطية داخلية"",""titleEn"":""Indoor Coverage"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""حلول تعزيز الإشارة على مستوى المبنى."",""descriptionEn"":""Building-wide signal enhancement solutions.""},{""id"":""feat-3"",""href"":""/smart-home"",""icon"":""fa-home"",""titleAr"":""المنزل الذكي"",""titleEn"":""Smart Home"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""أتمتة ذكية للمعيشة العصرية."",""descriptionEn"":""Intelligent automation for modern living.""},{""id"":""feat-4"",""href"":""/security-solutions"",""icon"":""fa-shield"",""titleAr"":""أنظمة الأمن"",""titleEn"":""Security Systems"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""CCTV والتحكم في الوصول والأقفال الذكية."",""descriptionEn"":""CCTV, access control, and smart locks.""},{""id"":""feat-5"",""href"":""/services"",""icon"":""fa-microchip"",""titleAr"":""إنترنت الأشياء"",""titleEn"":""IoT & Connected Tech"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""تكامل الأجهزة وأتمتة العمليات."",""descriptionEn"":""Device integration and process automation.""},{""id"":""feat-6"",""href"":""/services"",""icon"":""fa-phone"",""titleAr"":""IP PBX"",""titleEn"":""IP PBX & UC"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""اتصالات موحدة للمؤسسات."",""descriptionEn"":""Unified communications for enterprises.""},{""id"":""feat-7"",""href"":""/services"",""icon"":""fa-server"",""titleAr"":""البنية التحتية"",""titleEn"":""Infrastructure"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""حلول بنية شبكة قابلة للتوسع."",""descriptionEn"":""Scalable network infrastructure solutions.""}],""columns"":3,""titleAr"":""الخبرات الأساسية"",""titleEn"":""Core Expertise"",""subtitleAr"":""حلول تقنية متكاملة للمؤسسات والمنازل"",""subtitleEn"":""End-to-end technology solutions for enterprises and homes"",""cardVariant"":""iconTop"",""showCategories"":false},""version"":""2.0""},{""id"":""catalog-4"",""type"":""catalog"",""props"":{""city"":"""",""limit"":6,""source"":""services"",""titleAr"":""خدماتنا"",""titleEn"":""Our Services"",""manualIds"":[],""subtitleAr"":""حلول تقنية شاملة مصممة لاحتياجاتك"",""subtitleEn"":""Comprehensive technology solutions tailored to your needs"",""serviceType"":"""",""viewAllHref"":""/services"",""categorySlug"":"""",""featuredOnly"":false,""emptyMessageAr"":"""",""emptyMessageEn"":"""",""displaySettings"":{""limit"":6,""columns"":3,""autoplay"":false,""showCity"":true,""showIcon"":true,""showPrice"":true,""showStars"":true,""layoutMode"":""grid"",""cardVariant"":""default"",""showExcerpt"":true,""showCategory"":true,""showDuration"":true,""showViewAllLink"":true,""autoplayIntervalMs"":5000}},""version"":""2.0""},{""id"":""testimonials-5"",""type"":""testimonials"",""props"":{""limit"":6,""source"":""collection"",""columns"":3,""titleAr"":""ماذا يقول عملاؤنا"",""titleEn"":""What Our Clients Say"",""autoplay"":false,""layoutMode"":""grid"",""subtitleAr"":""موثوق من المؤسسات وأصحاب المنازل في الإمارات"",""subtitleEn"":""Trusted by enterprises and homeowners across the UAE"",""cardVariant"":""default"",""sliderEnabled"":false,""testimonialIds"":[],""showViewAllLink"":true,""autoplayIntervalMs"":5000,""testimonialCollectionSlug"":""brt-clients""},""version"":""2.0""},{""id"":""logoCloud-6"",""type"":""logoCloud"",""props"":{""items"":[{""id"":""logo-1"",""href"":"""",""nameAr"":""أمازون أليكسا"",""nameEn"":""Amazon Alexa"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""mediaAssetId"":""""},{""id"":""logo-2"",""href"":"""",""nameAr"":""مساعد جوجل"",""nameEn"":""Google Assistant"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""mediaAssetId"":""""},{""id"":""logo-3"",""href"":"""",""nameAr"":""آبل سيري"",""nameEn"":""Apple Siri"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""mediaAssetId"":""""}],""columns"":3,""titleAr"":""منصات التكامل الصوتي"",""titleEn"":""Voice Integration Platforms"",""autoplay"":false,""logoSize"":""md"",""grayscale"":true,""subtitleAr"":"""",""subtitleEn"":"""",""displayMode"":""grid"",""grayscaleHover"":true,""groupByCategory"":false,""autoplayIntervalMs"":4000},""version"":""2.0""},{""id"":""cta-7"",""type"":""cta"",""props"":{""href"":""/contact"",""size"":""default"",""layout"":""centered"",""titleAr"":""مستعد لتحويل تقنياتك؟"",""titleEn"":""Ready to Transform Your Technology?"",""buttonAr"":""اتصل بنا"",""buttonEn"":""Contact Us"",""subtitleAr"":""تواصل معنا لاستشارة مجانية وحل مخصص."",""subtitleEn"":""Contact us for a free consultation and customized solution."",""secondaryHref"":"""",""backgroundType"":""gradient"",""secondaryButtonAr"":"""",""secondaryButtonEn"":""""},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-01T13:36:59.338Z,2026-06-05T11:01:42.404Z,"{""siteEffects"":{""background"":""inherit""},""animationsEnabled"":true}"
cmpv9628c001thf2w3e8te0ly,about,About Us,من نحن,,,about,PUBLISHED,"[{""id"":""hero-8"",""type"":""hero"",""props"":{""layout"":""centered"",""badgeAr"":"""",""badgeEn"":"""",""ctaHref"":""/contact"",""titleAr"":""عن BRT TRADING LLC"",""titleEn"":""About BRT TRADING LLC"",""imageUrl"":"""",""minHeight"":""70vh"",""ctaLabelAr"":""اتصل بنا"",""ctaLabelEn"":""Contact Us"",""subtitleAr"":""تصميم وتنفيذ ودعم بنى الاتصالات اللاسلكية المتقدمة"",""subtitleEn"":""Designing, implementing, and supporting advanced wireless and communication infrastructures"",""mediaAssetId"":"""",""backgroundType"":""gradient"",""overlayOpacity"":60,""secondaryCtaHref"":"""",""secondaryCtaLabelAr"":"""",""secondaryCtaLabelEn"":""""},""version"":""2.0""},{""id"":""advancedRichText-9"",""type"":""advancedRichText"",""props"":{""prose"":true,""htmlAr"":""<p>تتخصص BRT TRADING LLC في تصميم وتنفيذ ودعم بنى الاتصالات اللاسلكية المتقدمة للمؤسسات والمرافق التجارية والضيافة والتطويرات السكنية والقطاع الحكومي.</p><p>مهمتنا تقديم حلول تقنية موثوقة وقابلة للتوسع تعزز الاتصال وتحسن الأمن وتخلق بيئات أكثر ذكاءً.</p>"",""htmlEn"":""<p>BRT TRADING LLC specializes in designing, implementing, and supporting advanced wireless and communication infrastructures for enterprises, commercial facilities, hospitality environments, residential developments, and government sectors.</p><p>Our mission is to deliver reliable, scalable, and future-ready technology solutions that enhance connectivity, improve security, and create smarter living and working environments.</p>"",""maxWidth"":""reading"",""contentAr"":"""",""contentEn"":""""},""version"":""2.0""},{""id"":""benefitsGrid-10"",""type"":""benefitsGrid"",""props"":{""items"":[{""id"":""benefit-1"",""href"":"""",""icon"":""fa-gem"",""titleAr"":""الجودة"",""titleEn"":""Quality"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""حلول موثوقة وعالية الأداء مبنية على تقنيات رائدة."",""descriptionEn"":""Reliable, high-performance solutions built on industry-leading technologies.""},{""id"":""benefit-2"",""href"":"""",""icon"":""fa-lightbulb"",""titleAr"":""الابتكار"",""titleEn"":""Innovation"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""اعتماد مستمر للتقنيات الناشئة لإبقاء العملاء في المقدمة."",""descriptionEn"":""Continuously adopting emerging technologies to keep clients ahead.""},{""id"":""benefit-3"",""href"":"""",""icon"":""fa-heart"",""titleAr"":""رضا العملاء"",""titleEn"":""Customer Satisfaction"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""شراكات طويلة الأمد عبر خدمة استثنائية ونتائج ملموسة."",""descriptionEn"":""Long-term partnerships through exceptional service and measurable results.""}],""layout"":""cards"",""titleAr"":""التزامنا"",""titleEn"":""Our Commitment"",""emphasis"":""outcome"",""subtitleAr"":"""",""subtitleEn"":""""},""version"":""2.0""},{""id"":""timeline-11"",""type"":""timeline"",""props"":{""items"":[{""id"":""step-1"",""date"":""1"",""icon"":""fa-circle"",""titleAr"":""الاستشارة والتقييم"",""titleEn"":""Consultation & Assessment"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""descriptionAr"":""تقييم المتطلبات وظروف الموقع والأهداف."",""descriptionEn"":""Evaluate requirements, site conditions, and business objectives.""},{""id"":""step-2"",""date"":""2"",""icon"":""fa-circle"",""titleAr"":""التصميم والتخطيط"",""titleEn"":""Design & Planning"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""descriptionAr"":""تصاميم مفصلة لأداء مثالي وقابلية التوسع."",""descriptionEn"":""Detailed designs for optimal performance and scalability.""},{""id"":""step-3"",""date"":""3"",""icon"":""fa-circle"",""titleAr"":""التنفيذ"",""titleEn"":""Implementation"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""descriptionAr"":""تركيب وتكوين واختبار احترافي."",""descriptionEn"":""Professional installation, configuration, and testing.""},{""id"":""step-4"",""date"":""4"",""icon"":""fa-circle"",""titleAr"":""التدريب"",""titleEn"":""Training"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""descriptionAr"":""تدريب شامل لتحقيق أقصى قيمة من الاستثمارات."",""descriptionEn"":""Comprehensive training for maximum value from investments.""},{""id"":""step-5"",""date"":""5"",""icon"":""fa-circle"",""titleAr"":""الدعم المستمر"",""titleEn"":""Ongoing Support"",""imageUrl"":"""",""categoryAr"":"""",""categoryEn"":"""",""descriptionAr"":""مراقبة ودعم وترقيات وتحسين."",""descriptionEn"":""Monitoring, support, upgrades, and optimization.""}],""layout"":""vertical"",""titleAr"":""عمليتنا"",""titleEn"":""Our Process""},""version"":""2.0""},{""id"":""trustBadges-12"",""type"":""trustBadges"",""props"":{""items"":[{""id"":""badge-1"",""href"":"""",""icon"":""fa-award"",""labelAr"":""أكثر من 10 سنوات"",""labelEn"":""10+ Years Experience"",""imageUrl"":"""",""mediaAssetId"":"""",""descriptionAr"":"""",""descriptionEn"":""""},{""id"":""badge-2"",""href"":"""",""icon"":""fa-briefcase"",""labelAr"":""أكثر من 500 مشروع"",""labelEn"":""500+ Projects"",""imageUrl"":"""",""mediaAssetId"":"""",""descriptionAr"":"""",""descriptionEn"":""""},{""id"":""badge-3"",""href"":"""",""icon"":""fa-building"",""labelAr"":""مستوى المؤسسات"",""labelEn"":""Enterprise-Grade"",""imageUrl"":"""",""mediaAssetId"":"""",""descriptionAr"":"""",""descriptionEn"":""""},{""id"":""badge-4"",""href"":"""",""icon"":""fa-truck"",""labelAr"":""تسليم متكامل"",""labelEn"":""End-to-End Delivery"",""imageUrl"":"""",""mediaAssetId"":"""",""descriptionAr"":"""",""descriptionEn"":""""}],""layout"":""grid"",""titleAr"":""لماذا تختار BRT TRADING LLC؟"",""titleEn"":""Why Choose BRT TRADING LLC?"",""subtitleAr"":"""",""subtitleEn"":"""",""registrationNo"":""""},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-01T13:36:59.340Z,2026-06-05T11:01:42.409Z,
cmpv9628d001uhf2wj35o8c1o,contact,Contact,اتصل بنا,,,contact,PUBLISHED,"[{""id"":""hero-31"",""type"":""hero"",""props"":{""layout"":""centered"",""badgeAr"":"""",""badgeEn"":"""",""ctaHref"":""/contact"",""titleAr"":""اتصل بنا"",""titleEn"":""Contact Us"",""imageUrl"":"""",""minHeight"":""70vh"",""ctaLabelAr"":"""",""ctaLabelEn"":"""",""subtitleAr"":""تواصل معنا لاستشارة مجانية وحل مخصص"",""subtitleEn"":""Get in touch for a free consultation and customized solution"",""mediaAssetId"":"""",""backgroundType"":""gradient"",""overlayOpacity"":60,""secondaryCtaHref"":"""",""secondaryCtaLabelAr"":"""",""secondaryCtaLabelEn"":""""},""version"":""2.0""},{""id"":""contactFormBuilder-32"",""type"":""contactFormBuilder"",""props"":{""layout"":""stacked"",""titleAr"":""أرسل لنا رسالة"",""titleEn"":""Send Us a Message"",""templateId"":""mock-form-brt-contact"",""redirectUrl"":"""",""successMessageAr"":""شكراً لك! سنتواصل معك قريباً."",""successMessageEn"":""Thank you! We will be in touch shortly.""},""version"":""2.0""},{""id"":""richText-33"",""type"":""richText"",""props"":{""htmlAr"":""<p><strong>BRT TRADING LLC</strong></p><p>📧 info@brt-me.com</p><p>🌐 www.brt-me.com</p><p>📞 +971 55 472 7292</p><p><em>تمكين الاتصال. تعزيز الأمن. تمكين المعيشة الذكية.</em></p>"",""htmlEn"":""<p><strong>BRT TRADING LLC</strong></p><p>📧 info@brt-me.com</p><p>🌐 www.brt-me.com</p><p>📞 +971 55 472 7292</p><p><em>Empowering Connectivity. Enhancing Security. Enabling Smart Living.</em></p>""},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-01T13:36:59.342Z,2026-06-05T11:01:42.428Z,
cmpv9628f001vhf2wywizdn0i,packages,,,,,packages,DRAFT,"[]",,,2026-06-01T13:36:59.343Z,2026-06-05T11:01:42.433Z,"{}"
cmpv9628i001xhf2wh2ban5s8,gallery,Gallery,المعرض,,,gallery,PUBLISHED,"[{""id"":""hero-27"",""type"":""hero"",""props"":{""layout"":""centered"",""badgeAr"":"""",""badgeEn"":"""",""ctaHref"":""/contact"",""titleAr"":""معرض المشاريع"",""titleEn"":""Project Gallery"",""imageUrl"":"""",""minHeight"":""70vh"",""ctaLabelAr"":"""",""ctaLabelEn"":"""",""subtitleAr"":""استكشف مشاريعنا المكتملة في الاتصالات والأمن والتقنية الذكية"",""subtitleEn"":""Explore our completed wireless, security, and smart technology projects"",""mediaAssetId"":"""",""backgroundType"":""gradient"",""overlayOpacity"":60,""secondaryCtaHref"":"""",""secondaryCtaLabelAr"":"""",""secondaryCtaLabelEn"":""""},""version"":""2.0""},{""id"":""gallery-28"",""type"":""gallery"",""props"":{""limit"":0,""columns"":3,""titleAr"":""أعمالنا"",""titleEn"":""Our Work"",""variant"":""grid"",""gallerySlug"":""brt-projects"",""showViewAllLink"":true},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-01T13:36:59.347Z,2026-06-05T11:01:42.424Z,
cmpv9628k001yhf2wm8z0982c,testimonials,Testimonials,آراء العملاء,,,testimonials,PUBLISHED,"[{""id"":""hero-29"",""type"":""hero"",""props"":{""layout"":""centered"",""badgeAr"":"""",""badgeEn"":"""",""ctaHref"":""/contact"",""titleAr"":""آراء العملاء"",""titleEn"":""Client Testimonials"",""imageUrl"":"""",""minHeight"":""70vh"",""ctaLabelAr"":"""",""ctaLabelEn"":"""",""subtitleAr"":""استمع إلى الشركات وأصحاب المنازل الذين يثقون بـ BRT"",""subtitleEn"":""Hear from businesses and homeowners who trust BRT TRADING LLC"",""mediaAssetId"":"""",""backgroundType"":""gradient"",""overlayOpacity"":60,""secondaryCtaHref"":"""",""secondaryCtaLabelAr"":"""",""secondaryCtaLabelEn"":""""},""version"":""2.0""},{""id"":""testimonials-30"",""type"":""testimonials"",""props"":{""limit"":12,""source"":""collection"",""columns"":3,""titleAr"":""ماذا يقول عملاؤنا"",""titleEn"":""What Our Clients Say"",""autoplay"":false,""layoutMode"":""grid"",""subtitleAr"":"""",""subtitleEn"":"""",""cardVariant"":""default"",""sliderEnabled"":false,""testimonialIds"":[],""showViewAllLink"":true,""autoplayIntervalMs"":5000,""testimonialCollectionSlug"":""brt-clients""},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-01T13:36:59.348Z,2026-06-05T11:01:42.426Z,
cmpv9628l001zhf2wrg4nzifr,hotels-transport,,,,,hotels-transport,DRAFT,"[]",,,2026-06-01T13:36:59.350Z,2026-06-05T11:01:42.435Z,
cmq05v0tp0007hflkcksu8qmq,products,,,,,products,DRAFT,"[]",,,2026-06-05T00:03:16.334Z,2026-06-05T11:01:42.436Z,"{}"
cmq05v0u30008hflkq684a21o,collections,,,,,collections,DRAFT,"[]",,,2026-06-05T00:03:16.348Z,2026-06-05T11:01:42.437Z,"{}"
cmq05v0u80009hflksefq0grx,services,Services,الخدمات,,,services,PUBLISHED,"[{""id"":""hero-13"",""type"":""hero"",""props"":{""layout"":""centered"",""badgeAr"":"""",""badgeEn"":"""",""ctaHref"":""/contact"",""titleAr"":""خدماتنا"",""titleEn"":""Our Services"",""imageUrl"":"""",""minHeight"":""70vh"",""ctaLabelAr"":""اطلب عرضاً"",""ctaLabelEn"":""Request a Quote"",""subtitleAr"":""حلول شاملة للاتصالات اللاسلكية والأمن والتقنية الذكية"",""subtitleEn"":""Comprehensive wireless, security, and smart technology solutions"",""mediaAssetId"":"""",""backgroundType"":""gradient"",""overlayOpacity"":60,""secondaryCtaHref"":"""",""secondaryCtaLabelAr"":"""",""secondaryCtaLabelEn"":""""},""version"":""2.0""},{""id"":""catalog-14"",""type"":""catalog"",""props"":{""city"":"""",""limit"":12,""source"":""services"",""titleAr"":""جميع الخدمات"",""titleEn"":""All Services"",""manualIds"":[],""subtitleAr"":"""",""subtitleEn"":"""",""serviceType"":"""",""viewAllHref"":""/services"",""categorySlug"":"""",""featuredOnly"":false,""emptyMessageAr"":"""",""emptyMessageEn"":"""",""displaySettings"":{""limit"":12,""columns"":3,""autoplay"":false,""showCity"":true,""showIcon"":true,""showPrice"":true,""showStars"":true,""layoutMode"":""grid"",""cardVariant"":""default"",""showExcerpt"":true,""showCategory"":true,""showDuration"":true,""showViewAllLink"":true,""autoplayIntervalMs"":5000}},""version"":""2.0""},{""id"":""featureGrid-15"",""type"":""featureGrid"",""props"":{""items"":[{""id"":""feat-1"",""href"":""/smart-home"",""icon"":""fa-home"",""titleAr"":""المنزل الذكي"",""titleEn"":""Smart Home"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""أتمتة منزلية كاملة وتكامل صوتي."",""descriptionEn"":""Full home automation and voice integration.""},{""id"":""feat-2"",""href"":""/security-solutions"",""icon"":""fa-shield"",""titleAr"":""الأمن"",""titleEn"":""Security"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""مراقبة ذكية والتحكم في الوصول."",""descriptionEn"":""Intelligent surveillance and access control.""},{""id"":""feat-3"",""href"":""/enterprise-wireless"",""icon"":""fa-wifi"",""titleAr"":""شبكة المؤسسات"",""titleEn"":""Enterprise Wireless"",""imageUrl"":"""",""metricAr"":"""",""metricEn"":"""",""categoryAr"":"""",""categoryEn"":"""",""linkLabelAr"":"""",""linkLabelEn"":"""",""mediaAssetId"":"""",""descriptionAr"":""تصميم ونشر وتحسين Wi-Fi."",""descriptionEn"":""Wi-Fi design, deployment, and optimization.""}],""columns"":3,""titleAr"":""حلول متخصصة"",""titleEn"":""Specialized Solutions"",""subtitleAr"":"""",""subtitleEn"":"""",""cardVariant"":""iconTop"",""showCategories"":false},""version"":""2.0""}]",2026-06-05T11:01:42.387Z,,2026-06-05T00:03:16.352Z,2026-06-05T11:01:42.413Z,"{}"
