id,galleryId,titleEn,titleAr,excerptEn,excerptAr,descriptionEn,descriptionAr,infoEn,infoAr,mediaUrl,mediaKind,sortOrder,isPublished,createdAt,updatedAt
cmq0tdrvs0017hf64b75l21u2,cmq0tdrvs0016hf64pm8tg4pa,Enterprise Wireless Deployment,نشر شبكة لاسلكية,,,,,,,/images/placeholder.svg,IMAGE,0,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs0018hf64cgen5j9u,cmq0tdrvs0016hf64pm8tg4pa,Smart Home Automation,أتمتة المنزل الذكي,,,,,,,/images/placeholder.svg,IMAGE,1,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs0019hf64n3k45aeu,cmq0tdrvs0016hf64pm8tg4pa,Security Surveillance,مراقبة أمنية,,,,,,,/images/placeholder.svg,IMAGE,2,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001ahf64xkkqhta4,cmq0tdrvs0016hf64pm8tg4pa,IoT Sensor Network,شبكة مستشعرات,,,,,,,/images/placeholder.svg,IMAGE,3,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001bhf646l32rcpk,cmq0tdrvs0016hf64pm8tg4pa,Indoor Coverage,تغطية داخلية,,,,,,,/images/placeholder.svg,IMAGE,4,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001chf64p4f71xzl,cmq0tdrvs0016hf64pm8tg4pa,IP PBX System,نظام IP PBX,,,,,,,/images/placeholder.svg,IMAGE,5,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001dhf64q7sxegwn,cmq0tdrvs0016hf64pm8tg4pa,Network Infrastructure,بنية شبكة,,,,,,,/images/placeholder.svg,IMAGE,6,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001ehf64m8qtoznm,cmq0tdrvs0016hf64pm8tg4pa,Smart Lock Integration,أقفال ذكية,,,,,,,/images/placeholder.svg,IMAGE,7,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001fhf64oiouufh5,cmq0tdrvs0016hf64pm8tg4pa,CCTV Analytics,تحليلات CCTV,,,,,,,/images/placeholder.svg,IMAGE,8,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001ghf6401bnduz6,cmq0tdrvs0016hf64pm8tg4pa,Building Automation,أتمتة المباني,,,,,,,/images/placeholder.svg,IMAGE,9,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001hhf64saydiijb,cmq0tdrvs0016hf64pm8tg4pa,Voice Assistant Setup,مساعد صوتي,,,,,,,/images/placeholder.svg,IMAGE,10,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
cmq0tdrvs001ihf64mfnawt59,cmq0tdrvs0016hf64pm8tg4pa,Energy Management,إدارة الطاقة,,,,,,,/images/placeholder.svg,IMAGE,11,1,2026-06-05T11:01:42.376Z,2026-06-05T11:01:42.376Z
